data,hora,data_hora,ano,mes,dia_semana,hora_dia,periodo_dia,uf,municipio,regiao_grande_vitoria,rodovia,rodovia_label,km,latitude,longitude,causa,tipo_acidente,classificacao,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,mortos,feridos_graves,feridos_leves,feridos,ilesos,ignorados,veiculos,pessoas,regional,delegacia,uop,risco_alto,nivel_risco
2025-01-02,13:20,2025-01-02 13:20:00,2025.0,1.0,quinta,13.0,tarde,ES,MARECHAL FLORIANO,False,262.0,BR-262,73.2,-20.41066352,-40.88380166,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Ponte;Declive;Curva,Não,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL01-ES,UOP02-DEL01-ES,1,grave
2025-01-03,05:03,2025-01-03 05:03:00,2025.0,1.0,sexta,5.0,madrugada,ES,CARIACICA,True,101.0,BR-101,294.5,-20.32415948,-40.3952903,Ausência de reação do condutor,Engavetamento,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Dupla,Aclive;Reta,Sim,0.0,1.0,0.0,1.0,2.0,4.0,7.0,4.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,grave
2025-01-03,17:00,2025-01-03 17:00:00,2025.0,1.0,sexta,17.0,tarde,ES,VIANA,True,101.0,BR-101,301.0,-20.36825561,-40.44406414,Demais falhas mecânicas ou elétricas,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Aclive;Retorno Regulamentado,Sim,0.0,0.0,1.0,1.0,2.0,3.0,6.0,4.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-01-03,17:30,2025-01-03 17:30:00,2025.0,1.0,sexta,17.0,tarde,ES,CARIACICA,True,101.0,BR-101,291.8,-20.29755744,-40.39445616,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Ignorado,Dupla,Reta,Não,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-01-05,22:00,2025-01-05 22:00:00,2025.0,1.0,domingo,22.0,noite,ES,MUQUI,False,393.0,BR-393,11.2,-20.85189406,-41.24479292,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Declive;Reta,Não,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL03-ES,UOP02-DEL03-ES,1,grave
2025-01-06,15:30,2025-01-06 15:30:00,2025.0,1.0,segunda,15.0,tarde,ES,ARACRUZ,False,101.0,BR-101,173.8,-19.57221883,-40.18397327,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Sim,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,1,grave
2025-01-07,10:45,2025-01-07 10:45:00,2025.0,1.0,terca,10.0,manha,ES,CACHOEIRO DE ITAPEMIRIM,False,393.0,BR-393,1.3,-20.83723289,-41.16733095,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL03-ES,UOP02-DEL03-ES,1,grave
2025-01-08,16:03,2025-01-08 16:03:00,2025.0,1.0,quarta,16.0,tarde,ES,SAO MATEUS,False,101.0,BR-101,78.9,-18.81417602,-39.90121797,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Aclive;Reta,Não,0.0,1.0,0.0,1.0,2.0,1.0,3.0,4.0,SPRF-ES,DEL04-ES,UOP02-DEL04-ES,1,grave
2025-01-10,14:15,2025-01-10 14:15:00,2025.0,1.0,sexta,14.0,tarde,ES,IBIRACU,False,101.0,BR-101,210.8,-19.798437,-40.36982,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Fatais,Pleno dia,Decrescente,Chuva,Simples,Aclive;Reta,Sim,1.0,1.0,2.0,3.0,0.0,1.0,3.0,5.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,1,fatal
2025-01-12,23:40,2025-01-12 23:40:00,2025.0,1.0,domingo,23.0,noite,ES,SAO MATEUS,False,101.0,BR-101,64.0,-18.70428583,-39.87065983,Ingestão de álcool pelo condutor,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Garoa/Chuvisco,Simples,Reta,Não,0.0,0.0,1.0,1.0,1.0,2.0,4.0,3.0,SPRF-ES,DEL04-ES,UOP02-DEL04-ES,0,moderado
2025-01-15,05:30,2025-01-15 05:30:00,2025.0,1.0,quarta,5.0,madrugada,ES,GUARAPARI,True,101.0,BR-101,321.4,-20.520908,-40.478306,Problema com o freio,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Chuva,Dupla,Curva;Declive,Não,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,1,grave
2025-01-16,06:50,2025-01-16 06:50:00,2025.0,1.0,quinta,6.0,manha,ES,SOORETAMA,False,101.0,BR-101,128.1,-19.21191395,-40.09457556,Reação tardia ou ineficiente do condutor,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,0.0,0.0,2.0,2.0,4.0,4.0,8.0,7.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,moderado
2025-01-16,22:10,2025-01-16 22:10:00,2025.0,1.0,quinta,22.0,noite,ES,GUARAPARI,True,101.0,BR-101,330.0,-20.5929953,-40.50133975,Ingestão de álcool pelo condutor,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,0,baixo
2025-01-13,10:53,2025-01-13 10:53:00,2025.0,1.0,segunda,10.0,manha,ES,LINHARES,False,101.0,BR-101,142.0,-19.33458987,-40.06755477,Falta de acostamento,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,0.0,0.0,1.0,1.0,1.0,3.0,4.0,5.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,moderado
2025-01-17,21:20,2025-01-17 21:20:00,2025.0,1.0,sexta,21.0,noite,ES,LINHARES,False,101.0,BR-101,144.8,-19.35188295,-40.0636685,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão transversal,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Retorno Regulamentado,Sim,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,1,fatal
2025-01-20,17:50,2025-01-20 17:50:00,2025.0,1.0,segunda,17.0,tarde,ES,JAGUARE,False,101.0,BR-101,99.7,-18.97188909,-39.99152282,Acesso irregular,Colisão traseira,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Simples,Reta,Não,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL04-ES,UOP02-DEL04-ES,1,grave
2025-01-21,02:30,2025-01-21 02:30:00,2025.0,1.0,terca,2.0,madrugada,ES,VIANA,True,101.0,BR-101,309.0,-20.417,-40.45984911,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,0.0,1.0,0.0,1.0,2.0,3.0,6.0,4.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,grave
2025-01-24,21:21,2025-01-24 21:21:00,2025.0,1.0,sexta,21.0,noite,ES,SERRA,True,101.0,BR-101,263.0,-20.16554736,-40.27301648,Frear bruscamente,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta;Declive,Não,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-01-28,08:50,2025-01-28 08:50:00,2025.0,1.0,terca,8.0,manha,ES,CACHOEIRO DE ITAPEMIRIM,False,393.0,BR-393,0.0,-20.841324,-41.15929,Ultrapassagem Indevida,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL03-ES,UOP02-DEL03-ES,1,grave
2025-01-28,21:15,2025-01-28 21:15:00,2025.0,1.0,terca,21.0,noite,ES,CARIACICA,True,101.0,BR-101,293.8,-20.31526144,-40.39567044,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Múltipla,Curva,Sim,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-01-29,10:50,2025-01-29 10:50:00,2025.0,1.0,quarta,10.0,manha,ES,LINHARES,False,101.0,BR-101,125.0,-19.18496498,-40.09429827,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,baixo
2025-01-29,15:20,2025-01-29 15:20:00,2025.0,1.0,quarta,15.0,tarde,ES,IBATIBA,False,262.0,BR-262,157.0,-20.23102878,-41.48810903,Reação tardia ou ineficiente do condutor,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL01-ES,UOP02-DEL01-ES,1,grave
2025-01-30,11:00,2025-01-30 11:00:00,2025.0,1.0,quinta,11.0,manha,ES,PEDRO CANARIO,False,101.0,BR-101,8.1,-18.23027961,-39.95278417,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva;Aclive,Não,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL04-ES,UOP02-DEL04-ES,0,moderado
2025-01-31,06:27,2025-01-31 06:27:00,2025.0,1.0,sexta,6.0,manha,ES,SERRA,True,101.0,BR-101,269.0,-20.21740496,-40.26990578,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,baixo
2025-01-31,15:00,2025-01-31 15:00:00,2025.0,1.0,sexta,15.0,tarde,ES,ARACRUZ,False,101.0,BR-101,189.0,-19.68134019,-40.27051885,Condutor Dormindo,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,0.0,0.0,3.0,3.0,2.0,1.0,3.0,6.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,moderado
2025-02-01,11:00,2025-02-01 11:00:00,2025.0,2.0,sabado,11.0,manha,ES,SOORETAMA,False,101.0,BR-101,110.5,-19.06215201,-40.03484798,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,0.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,moderado
2025-02-03,08:00,2025-02-03 08:00:00,2025.0,2.0,segunda,8.0,manha,ES,FUNDAO,True,101.0,BR-101,232.1,-19.95224103,-40.40879816,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
