data,hora,data_hora,ano,mes,dia_semana,hora_dia,periodo_dia,uf,municipio,regiao_grande_vitoria,rodovia,rodovia_label,km,latitude,longitude,causa,tipo_acidente,classificacao,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,mortos,feridos_graves,feridos_leves,feridos,ilesos,ignorados,veiculos,pessoas,regional,delegacia,uop,risco_alto,nivel_risco
2025-01-03,05:03,2025-01-03 05:03:00,2025.0,1.0,sexta,5.0,madrugada,ES,CARIACICA,True,101.0,BR-101,294.5,-20.32415948,-40.3952903,Ausência de reação do condutor,Engavetamento,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Dupla,Aclive;Reta,Sim,0.0,1.0,0.0,1.0,2.0,4.0,7.0,4.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,grave
2025-01-03,17:00,2025-01-03 17:00:00,2025.0,1.0,sexta,17.0,tarde,ES,VIANA,True,101.0,BR-101,301.0,-20.36825561,-40.44406414,Demais falhas mecânicas ou elétricas,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Aclive;Retorno Regulamentado,Sim,0.0,0.0,1.0,1.0,2.0,3.0,6.0,4.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-01-03,17:30,2025-01-03 17:30:00,2025.0,1.0,sexta,17.0,tarde,ES,CARIACICA,True,101.0,BR-101,291.8,-20.29755744,-40.39445616,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Ignorado,Dupla,Reta,Não,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-01-15,05:30,2025-01-15 05:30:00,2025.0,1.0,quarta,5.0,madrugada,ES,GUARAPARI,True,101.0,BR-101,321.4,-20.520908,-40.478306,Problema com o freio,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Chuva,Dupla,Curva;Declive,Não,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,1,grave
2025-01-16,22:10,2025-01-16 22:10:00,2025.0,1.0,quinta,22.0,noite,ES,GUARAPARI,True,101.0,BR-101,330.0,-20.5929953,-40.50133975,Ingestão de álcool pelo condutor,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,0,baixo
2025-01-21,02:30,2025-01-21 02:30:00,2025.0,1.0,terca,2.0,madrugada,ES,VIANA,True,101.0,BR-101,309.0,-20.417,-40.45984911,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,0.0,1.0,0.0,1.0,2.0,3.0,6.0,4.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,grave
2025-01-24,21:21,2025-01-24 21:21:00,2025.0,1.0,sexta,21.0,noite,ES,SERRA,True,101.0,BR-101,263.0,-20.16554736,-40.27301648,Frear bruscamente,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta;Declive,Não,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-01-28,21:15,2025-01-28 21:15:00,2025.0,1.0,terca,21.0,noite,ES,CARIACICA,True,101.0,BR-101,293.8,-20.31526144,-40.39567044,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Múltipla,Curva,Sim,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-01-31,06:27,2025-01-31 06:27:00,2025.0,1.0,sexta,6.0,manha,ES,SERRA,True,101.0,BR-101,269.0,-20.21740496,-40.26990578,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,baixo
2025-02-03,08:00,2025-02-03 08:00:00,2025.0,2.0,segunda,8.0,manha,ES,FUNDAO,True,101.0,BR-101,232.1,-19.95224103,-40.40879816,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
