id,data,dia_semana,hora,uf,rodovia,km,municipio,causa,tipo_acidente,classificacao,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,data_hora,ano,mes,hora_dia,periodo_dia,regiao_grande_vitoria,risco_alto,nivel_risco,rodovia_label
652869.0,2025-01-03,sexta,05:03,ES,101.0,294.5,CARIACICA,Ausência de reação do condutor,Engavetamento,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Dupla,Aclive;Reta,Sim,4.0,0.0,0.0,1.0,2.0,4.0,1.0,7.0,-20.32415948,-40.3952903,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,2025-01-03 05:03:00,2025.0,1.0,5.0,madrugada,True,1,grave,BR-101
652976.0,2025-01-03,sexta,17:00,ES,101.0,301.0,VIANA,Demais falhas mecânicas ou elétricas,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Aclive;Retorno Regulamentado,Sim,4.0,0.0,1.0,0.0,2.0,3.0,1.0,6.0,-20.36825561,-40.44406414,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,2025-01-03 17:00:00,2025.0,1.0,17.0,tarde,True,0,moderado,BR-101
652989.0,2025-01-03,sexta,17:30,ES,101.0,291.8,CARIACICA,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Ignorado,Dupla,Reta,Não,3.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,-20.29755744,-40.39445616,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,2025-01-03 17:30:00,2025.0,1.0,17.0,tarde,True,0,moderado,BR-101
655161.0,2025-01-15,quarta,05:30,ES,101.0,321.4,GUARAPARI,Problema com o freio,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Chuva,Dupla,Curva;Declive,Não,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,-20.520908,-40.478306,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,2025-01-15 05:30:00,2025.0,1.0,5.0,madrugada,True,1,grave,BR-101
655527.0,2025-01-16,quinta,22:10,ES,101.0,330.0,GUARAPARI,Ingestão de álcool pelo condutor,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,3.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,-20.5929953,-40.50133975,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,2025-01-16 22:10:00,2025.0,1.0,22.0,noite,True,0,baixo,BR-101
656390.0,2025-01-21,terca,02:30,ES,101.0,309.0,VIANA,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,4.0,0.0,0.0,1.0,2.0,3.0,1.0,6.0,-20.417,-40.45984911,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,2025-01-21 02:30:00,2025.0,1.0,2.0,madrugada,True,1,grave,BR-101
657101.0,2025-01-24,sexta,21:21,ES,101.0,263.0,SERRA,Frear bruscamente,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta;Declive,Não,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-20.16554736,-40.27301648,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,2025-01-24 21:21:00,2025.0,1.0,21.0,noite,True,0,moderado,BR-101
657967.0,2025-01-28,terca,21:15,ES,101.0,293.8,CARIACICA,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Múltipla,Curva,Sim,3.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,-20.31526144,-40.39567044,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,2025-01-28 21:15:00,2025.0,1.0,21.0,noite,True,0,moderado,BR-101
658356.0,2025-01-31,sexta,06:27,ES,101.0,269.0,SERRA,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-20.21740496,-40.26990578,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,2025-01-31 06:27:00,2025.0,1.0,6.0,manha,True,0,baixo,BR-101
659005.0,2025-02-03,segunda,08:00,ES,101.0,232.1,FUNDAO,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,-19.95224103,-40.40879816,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,2025-02-03 08:00:00,2025.0,2.0,8.0,manha,True,0,moderado,BR-101
