causa,total_acidentes,acidentes_alto_risco,mortos,feridos_graves,feridos_leves,feridos,veiculos,pessoas,percentual_alto_risco
Reação tardia ou ineficiente do condutor,360,105,20.0,106.0,351.0,457.0,662.0,898.0,0.2916666666666667
Ausência de reação do condutor,357,106,17.0,112.0,314.0,426.0,680.0,803.0,0.2969187675070028
Acessar a via sem observar a presença dos outros veículos,313,116,12.0,123.0,272.0,395.0,661.0,851.0,0.3706070287539936
Condutor deixou de manter distância do veículo da frente,195,38,1.0,41.0,214.0,255.0,450.0,565.0,0.19487179487179487
Manobra de mudança de faixa,160,35,2.0,37.0,163.0,200.0,344.0,407.0,0.21875
Velocidade Incompatível,150,59,19.0,54.0,137.0,191.0,306.0,352.0,0.3933333333333333
Transitar na contramão,114,60,29.0,60.0,105.0,165.0,273.0,357.0,0.5263157894736842
Demais falhas mecânicas ou elétricas,97,8,2.0,9.0,65.0,74.0,127.0,159.0,0.08247422680412371
Ingestão de álcool pelo condutor,91,22,5.0,22.0,67.0,89.0,174.0,221.0,0.24175824175824176
Ultrapassagem Indevida,77,38,9.0,46.0,81.0,127.0,188.0,246.0,0.4935064935064935
Condutor desrespeitou a iluminação vermelha do semáforo,72,22,2.0,26.0,87.0,113.0,160.0,228.0,0.3055555555555556
Condutor Dormindo,66,24,3.0,31.0,71.0,102.0,132.0,170.0,0.36363636363636365
Desrespeitar a preferência no cruzamento,52,23,1.0,28.0,41.0,69.0,108.0,134.0,0.4423076923076923
Conversão proibida,51,15,1.0,15.0,61.0,76.0,112.0,153.0,0.29411764705882354
Avarias e/ou desgaste excessivo no pneu,39,9,0.0,9.0,51.0,60.0,49.0,80.0,0.23076923076923078
Acesso irregular,37,13,3.0,10.0,33.0,43.0,81.0,94.0,0.35135135135135137
Entrada inopinada do pedestre,35,20,10.0,11.0,19.0,30.0,78.0,91.0,0.5714285714285714
Pedestre cruzava a pista fora da faixa,33,17,4.0,13.0,24.0,37.0,69.0,74.0,0.5151515151515151
Chuva,32,7,2.0,6.0,28.0,34.0,39.0,54.0,0.21875
Trafegar com motocicleta (ou similar) entre as faixas,31,14,1.0,13.0,21.0,34.0,66.0,69.0,0.45161290322580644
Animais na Pista,26,7,1.0,7.0,23.0,30.0,29.0,38.0,0.2692307692307692
Mal súbito do condutor,22,8,1.0,9.0,19.0,28.0,38.0,49.0,0.36363636363636365
Pedestre andava na pista,22,9,4.0,5.0,13.0,18.0,46.0,51.0,0.4090909090909091
Transitar no Acostamento,21,9,2.0,10.0,16.0,26.0,41.0,49.0,0.42857142857142855
Acumulo de areia ou detritos sobre o pavimento,16,2,0.0,2.0,16.0,18.0,16.0,20.0,0.125
Retorno proibido,14,6,1.0,8.0,11.0,19.0,28.0,35.0,0.42857142857142855
Frear bruscamente,14,1,0.0,1.0,14.0,15.0,29.0,49.0,0.07142857142857142
Pista Escorregadia,13,2,0.0,3.0,12.0,15.0,20.0,23.0,0.15384615384615385
Acumulo de água sobre o pavimento,12,3,0.0,3.0,8.0,11.0,13.0,17.0,0.25
Problema com o freio,10,2,0.0,2.0,9.0,11.0,18.0,20.0,0.2
Objeto estático sobre o leito carroçável,8,2,0.0,2.0,9.0,11.0,16.0,20.0,0.25
Suicídio (presumido),7,4,1.0,3.0,3.0,6.0,15.0,16.0,0.5714285714285714
Curva acentuada,7,0,0.0,0.0,11.0,11.0,12.0,23.0,0.0
Carga excessiva e/ou mal acondicionada,7,0,0.0,0.0,8.0,8.0,15.0,16.0,0.0
Iluminação deficiente,6,3,0.0,3.0,4.0,7.0,11.0,12.0,0.5
Pista esburacada,6,3,0.0,3.0,5.0,8.0,8.0,12.0,0.5
Condutor usando celular,6,2,1.0,3.0,5.0,8.0,14.0,15.0,0.3333333333333333
Afundamento ou ondulação no pavimento,6,2,0.0,2.0,6.0,8.0,6.0,9.0,0.3333333333333333
Falta de acostamento,6,2,2.0,0.0,3.0,3.0,13.0,14.0,0.3333333333333333
Acumulo de óleo sobre o pavimento,5,1,0.0,1.0,5.0,6.0,5.0,6.0,0.2
Pedestre - Ingestão de álcool/ substâncias psicoativas,5,3,3.0,0.0,2.0,2.0,11.0,15.0,0.6
Deficiência do Sistema de Iluminação/Sinalização,5,1,1.0,0.0,10.0,10.0,11.0,16.0,0.2
Sinalização mal posicionada,4,1,0.0,2.0,2.0,4.0,10.0,13.0,0.25
Estacionar ou parar em local proibido,3,0,0.0,0.0,2.0,2.0,7.0,8.0,0.0
Neblina,3,0,0.0,0.0,2.0,2.0,6.0,6.0,0.0
Demais falhas na via,3,0,0.0,0.0,4.0,4.0,5.0,6.0,0.0
Ingestão de substâncias psicoativas pelo condutor,3,0,0.0,0.0,2.0,2.0,5.0,9.0,0.0
Faixas de trânsito com largura insuficiente,3,1,0.0,1.0,2.0,3.0,7.0,8.0,0.3333333333333333
Ausência de sinalização,2,1,0.0,1.0,1.0,2.0,4.0,4.0,0.5
Semáforo com defeito,2,1,0.0,1.0,1.0,2.0,4.0,5.0,0.5
Declive acentuado,1,1,0.0,1.0,1.0,2.0,2.0,2.0,1.0
Acostamento em desnível,1,1,0.0,1.0,0.0,1.0,2.0,2.0,1.0
Desvio temporário,1,1,0.0,1.0,0.0,1.0,3.0,3.0,1.0
Demais Fenômenos da natureza,1,1,0.0,2.0,2.0,4.0,2.0,4.0,1.0
Falta de elemento de contenção que evite a saída do leito carroçável,1,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Fumaça,1,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Redutor de velocidade em desacordo,1,1,0.0,1.0,0.0,1.0,2.0,3.0,1.0
Restrição de visibilidade em curvas verticais,1,0,0.0,0.0,3.0,3.0,1.0,3.0,0.0
Problema na suspensão,1,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Transtornos Mentais (exceto suicidio),1,1,0.0,1.0,1.0,2.0,2.0,2.0,1.0
