hora_dia,total_acidentes,acidentes_alto_risco,mortos,feridos_graves,feridos_leves,feridos,veiculos,pessoas,percentual_alto_risco
18.0,205,80,16.0,86.0,175.0,261.0,415.0,495.0,0.3902439024390244
7.0,190,54,9.0,58.0,178.0,236.0,373.0,440.0,0.28421052631578947
17.0,177,49,7.0,48.0,170.0,218.0,361.0,445.0,0.2768361581920904
19.0,168,52,9.0,53.0,147.0,200.0,330.0,415.0,0.30952380952380953
8.0,149,42,3.0,47.0,122.0,169.0,279.0,349.0,0.28187919463087246
15.0,142,49,9.0,51.0,131.0,182.0,294.0,382.0,0.34507042253521125
14.0,139,46,3.0,54.0,144.0,198.0,296.0,405.0,0.33093525179856115
16.0,133,34,7.0,39.0,164.0,203.0,277.0,368.0,0.2556390977443609
6.0,132,42,9.0,44.0,123.0,167.0,288.0,360.0,0.3181818181818182
10.0,131,42,6.0,40.0,125.0,165.0,279.0,328.0,0.32061068702290074
20.0,127,39,14.0,36.0,125.0,161.0,241.0,348.0,0.30708661417322836
12.0,118,42,3.0,45.0,97.0,142.0,237.0,293.0,0.3559322033898305
13.0,117,42,7.0,43.0,95.0,138.0,240.0,279.0,0.358974358974359
9.0,114,35,3.0,37.0,110.0,147.0,213.0,282.0,0.30701754385964913
11.0,106,27,3.0,29.0,95.0,124.0,194.0,245.0,0.25471698113207547
21.0,100,32,10.0,26.0,93.0,119.0,194.0,253.0,0.32
22.0,78,20,3.0,20.0,68.0,88.0,146.0,186.0,0.2564102564102564
5.0,68,23,8.0,27.0,75.0,102.0,132.0,173.0,0.3382352941176471
4.0,55,15,4.0,12.0,68.0,80.0,93.0,144.0,0.2727272727272727
23.0,51,15,10.0,10.0,43.0,53.0,91.0,115.0,0.29411764705882354
0.0,40,18,8.0,15.0,30.0,45.0,84.0,111.0,0.45
3.0,38,9,4.0,6.0,27.0,33.0,64.0,73.0,0.23684210526315788
1.0,34,16,2.0,16.0,21.0,37.0,69.0,72.0,0.47058823529411764
2.0,27,10,3.0,9.0,15.0,24.0,50.0,52.0,0.37037037037037035
