mes,total_acidentes,acidentes_alto_risco,mortos,feridos_graves,feridos_leves,feridos,veiculos,pessoas,percentual_alto_risco
5.0,250,84,16.0,85.0,237.0,322.0,496.0,648.0,0.336
6.0,246,76,12.0,83.0,236.0,319.0,482.0,611.0,0.3089430894308943
8.0,234,63,12.0,66.0,215.0,281.0,451.0,543.0,0.2692307692307692
10.0,231,68,10.0,72.0,213.0,285.0,456.0,613.0,0.2943722943722944
12.0,229,77,14.0,85.0,219.0,304.0,448.0,589.0,0.33624454148471616
9.0,225,76,8.0,78.0,188.0,266.0,436.0,522.0,0.3377777777777778
11.0,225,70,22.0,66.0,206.0,272.0,438.0,582.0,0.3111111111111111
7.0,212,71,15.0,68.0,191.0,259.0,437.0,503.0,0.33490566037735847
2.0,209,61,16.0,53.0,190.0,243.0,421.0,512.0,0.291866028708134
3.0,208,69,13.0,69.0,191.0,260.0,412.0,499.0,0.3317307692307692
4.0,197,67,12.0,71.0,189.0,260.0,408.0,513.0,0.3401015228426396
1.0,173,51,10.0,55.0,166.0,221.0,355.0,478.0,0.2947976878612717
