municipio,total_acidentes,acidentes_alto_risco,mortos,feridos_graves,feridos_leves,feridos,veiculos,pessoas,percentual_alto_risco
SERRA,579,157,20.0,161.0,527.0,688.0,1119.0,1371.0,0.2711571675302245
LINHARES,345,82,18.0,88.0,342.0,430.0,678.0,855.0,0.23768115942028986
CARIACICA,278,100,9.0,103.0,228.0,331.0,566.0,659.0,0.3597122302158273
VIANA,154,39,5.0,40.0,142.0,182.0,293.0,355.0,0.2532467532467532
SAO MATEUS,150,45,8.0,46.0,135.0,181.0,301.0,356.0,0.3
DOMINGOS MARTINS,96,31,9.0,32.0,113.0,145.0,194.0,273.0,0.3229166666666667
COLATINA,86,30,5.0,31.0,85.0,116.0,154.0,191.0,0.3488372093023256
IBATIBA,68,27,5.0,28.0,59.0,87.0,141.0,215.0,0.39705882352941174
IBIRACU,68,20,4.0,22.0,67.0,89.0,138.0,185.0,0.29411764705882354
MARECHAL FLORIANO,66,20,6.0,21.0,58.0,79.0,123.0,169.0,0.30303030303030304
GUARAPARI,57,18,4.0,18.0,81.0,99.0,95.0,183.0,0.3157894736842105
ANCHIETA,57,29,7.0,29.0,34.0,63.0,100.0,139.0,0.5087719298245614
CONCEICAO DA BARRA,54,17,7.0,13.0,51.0,64.0,129.0,146.0,0.3148148148148148
RIO NOVO DO SUL,52,14,5.0,12.0,56.0,68.0,120.0,145.0,0.2692307692307692
VENDA NOVA DO IMIGRANTE,52,20,2.0,20.0,34.0,54.0,108.0,119.0,0.38461538461538464
SOORETAMA,49,23,7.0,22.0,49.0,71.0,104.0,149.0,0.46938775510204084
ARACRUZ,48,15,4.0,15.0,43.0,58.0,98.0,123.0,0.3125
JOAO NEIVA,48,14,2.0,19.0,43.0,62.0,84.0,121.0,0.2916666666666667
FUNDAO,40,16,5.0,14.0,37.0,51.0,97.0,124.0,0.4
CACHOEIRO DE ITAPEMIRIM,35,20,2.0,19.0,22.0,41.0,63.0,70.0,0.5714285714285714
JAGUARE,32,14,1.0,15.0,19.0,34.0,70.0,78.0,0.4375
VILA VELHA,28,10,7.0,3.0,20.0,23.0,55.0,62.0,0.35714285714285715
PEDRO CANARIO,24,6,2.0,4.0,30.0,34.0,67.0,67.0,0.25
ITAPEMIRIM,23,10,4.0,10.0,22.0,32.0,46.0,64.0,0.43478260869565216
MIMOSO DO SUL,23,7,1.0,9.0,28.0,37.0,49.0,56.0,0.30434782608695654
ICONHA,22,9,2.0,10.0,14.0,24.0,54.0,65.0,0.4090909090909091
ATILIO VIVACQUA,19,7,2.0,5.0,17.0,22.0,32.0,47.0,0.3684210526315789
BAIXO GUANDU,17,6,3.0,4.0,15.0,19.0,34.0,41.0,0.35294117647058826
CONCEICAO DO CASTELO,12,3,0.0,4.0,10.0,14.0,26.0,35.0,0.25
IUNA,12,8,3.0,8.0,8.0,16.0,20.0,25.0,0.6666666666666666
PINHEIROS,9,1,0.0,3.0,16.0,19.0,19.0,29.0,0.1111111111111111
BREJETUBA,9,4,0.0,5.0,17.0,22.0,15.0,29.0,0.4444444444444444
VITORIA,8,0,0.0,0.0,7.0,7.0,14.0,17.0,0.0
MUNIZ FREIRE,7,3,1.0,7.0,5.0,12.0,13.0,20.0,0.42857142857142855
MUQUI,6,4,0.0,4.0,3.0,7.0,9.0,11.0,0.6666666666666666
IRUPI,4,3,0.0,6.0,3.0,9.0,8.0,15.0,0.75
AFONSO CLAUDIO,1,1,0.0,1.0,0.0,1.0,2.0,2.0,1.0
PRESIDENTE KENNEDY,1,0,0.0,0.0,1.0,1.0,2.0,2.0,0.0
