rodovia_label,km,total_acidentes,acidentes_alto_risco,mortos,feridos_graves,feridos_leves,feridos,veiculos,pessoas,percentual_alto_risco
BR-101,270.0,29,8,0.0,10.0,23.0,33.0,64.0,72.0,0.27586206896551724
BR-101,269.0,20,7,0.0,8.0,14.0,22.0,47.0,51.0,0.35
BR-101,265.0,19,7,0.0,8.0,17.0,25.0,31.0,38.0,0.3684210526315789
BR-101,266.0,18,3,0.0,3.0,16.0,19.0,37.0,41.0,0.16666666666666666
BR-101,264.0,18,5,1.0,4.0,12.0,16.0,37.0,39.0,0.2777777777777778
BR-101,296.0,17,6,1.0,5.0,11.0,16.0,41.0,39.0,0.35294117647058826
BR-101,268.0,15,2,0.0,3.0,20.0,23.0,31.0,37.0,0.13333333333333333
BR-101,298.0,14,6,0.0,7.0,9.0,16.0,24.0,29.0,0.42857142857142855
BR-101,146.0,13,4,1.0,4.0,15.0,19.0,28.0,34.0,0.3076923076923077
BR-101,147.0,13,3,0.0,6.0,10.0,16.0,22.0,27.0,0.23076923076923078
BR-101,66.0,12,2,0.0,2.0,11.0,13.0,24.0,25.0,0.16666666666666666
BR-101,262.0,12,6,0.0,7.0,6.0,13.0,24.0,29.0,0.5
BR-101,294.0,12,5,1.0,5.0,13.0,18.0,40.0,43.0,0.4166666666666667
BR-101,297.0,10,4,1.0,3.0,8.0,11.0,15.0,18.0,0.4
BR-101,263.0,10,2,0.0,2.0,11.0,13.0,16.0,21.0,0.2
BR-101,290.0,10,6,0.0,7.0,5.0,12.0,21.0,24.0,0.6
BR-101,144.0,10,0,0.0,0.0,12.0,12.0,19.0,22.0,0.0
BR-101,292.0,10,2,0.0,5.0,11.0,16.0,19.0,29.0,0.2
BR-101,267.0,9,2,1.0,2.0,8.0,10.0,15.0,18.0,0.2222222222222222
BR-101,289.0,9,3,0.0,3.0,6.0,9.0,27.0,31.0,0.3333333333333333
BR-101,267.9,9,0,0.0,0.0,11.0,11.0,16.0,19.0,0.0
BR-101,288.0,9,5,1.0,4.0,2.0,6.0,19.0,21.0,0.5555555555555556
BR-101,151.0,9,2,0.0,4.0,7.0,11.0,19.0,22.0,0.2222222222222222
BR-101,65.0,8,0,0.0,0.0,6.0,6.0,14.0,16.0,0.0
BR-101,270.5,8,2,1.0,2.0,8.0,10.0,18.0,19.0,0.25
BR-101,255.0,8,1,0.0,1.0,12.0,13.0,16.0,18.0,0.125
BR-101,259.0,8,3,3.0,1.0,7.0,8.0,12.0,15.0,0.375
BR-262,34.0,7,1,0.0,2.0,12.0,14.0,17.0,25.0,0.14285714285714285
BR-101,149.0,7,2,0.0,2.0,11.0,13.0,14.0,18.0,0.2857142857142857
BR-0,0.0,7,0,0.0,0.0,1.0,1.0,17.0,23.0,0.0
BR-101,148.0,7,1,0.0,1.0,5.0,6.0,15.0,16.0,0.14285714285714285
BR-101,127.0,7,3,0.0,3.0,4.0,7.0,10.0,10.0,0.42857142857142855
BR-101,256.0,7,1,0.0,1.0,7.0,8.0,13.0,14.0,0.14285714285714285
BR-101,94.0,7,0,0.0,0.0,7.0,7.0,15.0,18.0,0.0
BR-101,67.0,7,4,1.0,4.0,3.0,7.0,16.0,16.0,0.5714285714285714
BR-101,285.0,6,3,0.0,3.0,3.0,6.0,11.0,11.0,0.5
BR-101,204.8,6,2,0.0,2.0,8.0,10.0,13.0,32.0,0.3333333333333333
BR-101,125.0,6,2,0.0,2.0,2.0,4.0,15.0,15.0,0.3333333333333333
BR-101,141.0,6,3,0.0,4.0,4.0,8.0,10.0,12.0,0.5
BR-101,213.0,6,2,0.0,2.0,4.0,6.0,12.0,16.0,0.3333333333333333
BR-101,276.0,6,2,0.0,3.0,7.0,10.0,11.0,13.0,0.3333333333333333
BR-393,1.0,6,4,1.0,4.0,3.0,7.0,10.0,11.0,0.6666666666666666
BR-101,267.1,6,1,0.0,1.0,5.0,6.0,10.0,11.0,0.16666666666666666
BR-101,299.0,6,1,0.0,1.0,5.0,6.0,10.0,11.0,0.16666666666666666
BR-101,189.0,6,1,0.0,1.0,9.0,10.0,10.0,15.0,0.16666666666666666
BR-101,269.5,6,1,0.0,1.0,7.0,8.0,14.0,16.0,0.16666666666666666
BR-101,257.0,6,2,0.0,2.0,4.0,6.0,10.0,11.0,0.3333333333333333
BR-101,281.0,6,2,0.0,2.0,6.0,8.0,9.0,15.0,0.3333333333333333
BR-101,295.0,6,3,0.0,3.0,3.0,6.0,13.0,14.0,0.5
BR-101,270.4,6,2,0.0,3.0,5.0,8.0,18.0,24.0,0.3333333333333333
BR-101,267.8,6,3,0.0,3.0,1.0,4.0,11.0,14.0,0.5
BR-101,301.0,6,2,1.0,1.0,6.0,7.0,15.0,16.0,0.3333333333333333
BR-101,61.0,6,3,0.0,3.0,4.0,7.0,13.0,15.0,0.5
BR-101,284.0,5,1,0.0,1.0,7.0,8.0,6.0,10.0,0.2
BR-101,288.9,5,2,0.0,3.0,2.0,5.0,12.0,13.0,0.4
BR-101,140.5,5,1,0.0,1.0,3.0,4.0,9.0,12.0,0.2
BR-101,219.0,5,2,0.0,2.0,4.0,6.0,12.0,11.0,0.4
BR-101,2.0,5,3,1.0,2.0,1.0,3.0,11.0,11.0,0.6
BR-262,110.0,5,2,0.0,2.0,4.0,6.0,12.0,13.0,0.4
BR-262,64.0,5,0,0.0,0.0,8.0,8.0,8.0,12.0,0.0
BR-101,283.0,5,3,0.0,3.0,6.0,9.0,10.0,15.0,0.6
BR-262,17.0,5,0,0.0,0.0,5.0,5.0,10.0,12.0,0.0
BR-101,350.0,5,2,1.0,1.0,4.0,5.0,7.0,9.0,0.4
BR-101,304.0,5,0,0.0,0.0,6.0,6.0,12.0,13.0,0.0
BR-101,69.0,5,2,1.0,2.0,3.0,5.0,9.0,11.0,0.4
BR-101,271.0,5,0,0.0,0.0,6.0,6.0,9.0,12.0,0.0
BR-101,269.6,5,0,0.0,0.0,7.0,7.0,11.0,14.0,0.0
BR-101,262.1,5,3,1.0,2.0,4.0,6.0,10.0,16.0,0.6
BR-101,144.8,5,1,1.0,0.0,3.0,3.0,11.0,13.0,0.2
BR-101,270.2,5,0,0.0,0.0,5.0,5.0,11.0,12.0,0.0
BR-101,204.0,5,1,0.0,1.0,4.0,5.0,9.0,10.0,0.2
BR-101,268.5,5,0,0.0,0.0,7.0,7.0,12.0,12.0,0.0
BR-101,144.1,5,1,0.0,1.0,4.0,5.0,9.0,11.0,0.2
BR-101,258.0,5,1,0.0,1.0,5.0,6.0,9.0,10.0,0.2
BR-101,150.0,5,1,0.0,1.0,3.0,4.0,9.0,10.0,0.2
BR-101,268.9,5,0,0.0,0.0,8.0,8.0,10.0,13.0,0.0
BR-101,148.7,5,2,0.0,3.0,5.0,8.0,10.0,12.0,0.4
BR-101,233.0,5,1,0.0,1.0,5.0,6.0,10.0,15.0,0.2
BR-101,294.7,5,0,0.0,0.0,5.0,5.0,10.0,11.0,0.0
BR-101,214.0,4,1,0.0,1.0,3.0,4.0,8.0,8.0,0.25
BR-101,285.1,4,4,0.0,4.0,1.0,5.0,8.0,8.0,1.0
BR-101,395.0,4,1,0.0,1.0,3.0,4.0,10.0,11.0,0.25
BR-101,142.0,4,1,0.0,1.0,3.0,4.0,9.0,13.0,0.25
BR-259,8.0,4,0,0.0,0.0,5.0,5.0,6.0,7.0,0.0
BR-393,2.0,4,0,0.0,0.0,5.0,5.0,7.0,9.0,0.0
BR-101,278.2,4,2,0.0,3.0,1.0,4.0,8.0,8.0,0.5
BR-262,20.0,4,1,0.0,1.0,2.0,3.0,8.0,11.0,0.25
BR-101,263.1,4,1,0.0,1.0,4.0,5.0,7.0,8.0,0.25
BR-447,14.0,4,2,1.0,1.0,2.0,3.0,7.0,8.0,0.5
BR-101,263.9,4,2,0.0,2.0,5.0,7.0,8.0,10.0,0.5
BR-262,36.0,4,1,0.0,2.0,6.0,8.0,11.0,14.0,0.25
BR-262,39.0,4,1,1.0,0.0,6.0,6.0,8.0,13.0,0.25
BR-101,13.0,4,0,0.0,0.0,4.0,4.0,5.0,7.0,0.0
BR-101,14.0,4,1,0.0,1.0,4.0,5.0,7.0,8.0,0.25
BR-101,264.5,4,1,0.0,1.0,4.0,5.0,7.0,9.0,0.25
