tipo_acidente,total_acidentes,acidentes_alto_risco,mortos,feridos_graves,feridos_leves,feridos,veiculos,pessoas,percentual_alto_risco
Colisão transversal,480,190,19.0,207.0,462.0,669.0,1041.0,1385.0,0.3958333333333333
Colisão traseira,480,130,18.0,136.0,460.0,596.0,1148.0,1410.0,0.2708333333333333
Tombamento,297,71,11.0,71.0,304.0,375.0,394.0,507.0,0.23905723905723905
Colisão lateral mesmo sentido,293,74,7.0,76.0,277.0,353.0,663.0,758.0,0.2525597269624573
Saída de leito carroçável,199,47,5.0,47.0,172.0,219.0,246.0,323.0,0.23618090452261306
Colisão frontal,188,109,50.0,114.0,202.0,316.0,501.0,636.0,0.5797872340425532
Colisão com objeto,175,51,13.0,57.0,132.0,189.0,236.0,369.0,0.2914285714285714
Atropelamento de Pedestre,144,74,26.0,53.0,90.0,143.0,301.0,336.0,0.5138888888888888
Queda de ocupante de veículo,136,26,2.0,26.0,140.0,166.0,147.0,189.0,0.19117647058823528
Colisão lateral sentido oposto,102,33,4.0,36.0,93.0,129.0,268.0,325.0,0.3235294117647059
Incêndio,41,0,0.0,0.0,1.0,1.0,51.0,55.0,0.0
Capotamento,35,10,3.0,9.0,25.0,34.0,38.0,54.0,0.2857142857142857
Engavetamento,35,7,0.0,7.0,53.0,60.0,153.0,196.0,0.2
Atropelamento de Animal,21,7,1.0,7.0,18.0,25.0,24.0,36.0,0.3333333333333333
Eventos atípicos,10,3,0.0,3.0,10.0,13.0,19.0,22.0,0.3
Derramamento de carga,3,1,1.0,2.0,2.0,4.0,10.0,12.0,0.3333333333333333
